real_day,net_worth,cash,datacenters,era,total_revenue,arrears_count,total_built,takeovers,bank_sold,land_spend
0.0,30620.0,29600.0,1,1,0.0,0,1,0,0,0.0
1.0,17959.22102686964,3766.22102686964,3,1,14807.221026869782,0,4,0,0,2487.0
2.0,24773.11581201151,6960.115812011511,4,1,38488.11581201171,0,5,0,0,4644.0
3.0,22702.8184364897,1569.8184364896988,5,2,70524.81843648992,0,6,0,0,7506.0
4.0,36200.53327017643,6843.5332701764255,7,2,120944.53327017653,0,8,0,0,15952.0
5.0,53388.650828874466,24097.650828874463,7,2,176180.65082887447,0,10,0,0,21720.0
6.0,74801.4223093211,49780.422309321104,6,2,221372.42230932144,0,11,0,0,21720.0
7.0,102251.74943586002,75027.74943586002,7,2,271894.7494358602,0,12,0,0,21720.0
8.0,71781.6420848693,48828.642084869294,6,2,325184.6420848691,0,13,0,0,21720.0
9.0,104958.612368633,88562.612368633,4,2,376409.6123686328,0,14,0,0,21720.0
10.0,124928.2743688609,113185.2743688609,3,2,405184.274368861,0,14,0,0,21720.0
11.0,132931.33330357986,120654.33330357986,3,2,427285.3333035799,0,15,0,0,21720.0
12.0,148576.494262109,140502.494262109,2,2,448850.4942621107,0,15,0,0,21720.0
13.0,161283.31008163263,149406.31008163263,3,2,475129.31008163444,0,16,0,0,21720.0
14.0,170963.1446163255,158420.1446163255,3,2,498120.14461632905,0,17,0,0,21720.0
15.0,184200.93373681096,175994.93373681096,2,2,518056.9337368156,0,17,0,0,21720.0
16.0,186031.8937681012,173755.8937681012,3,2,531952.8937681075,0,18,0,0,21720.0
17.0,197861.57369330013,189788.57369330013,2,2,549652.5736933108,0,18,0,0,21720.0
18.0,207372.35449606265,203302.35449606265,1,2,563928.3544960743,0,18,0,0,21720.0
19.0,212189.5344920774,203849.5344920774,2,2,579570.5344920887,0,19,0,0,21720.0
20.0,222144.51718115152,214604.51718115152,2,2,594305.5171811631,0,19,0,0,21720.0
21.0,226334.39043856095,222464.39043856095,1,3,601187.3904385674,0,19,0,0,21720.0
22.0,188581.30700193509,153931.30700193509,3,3,610109.3070019449,0,21,0,0,21720.0
23.0,134571.04258262308,15984.042582623093,8,3,734619.0425826329,0,27,0,0,21720.0
24.0,181520.82401393104,5261.824013931051,14,3,1035404.8240139405,0,33,0,0,79268.0
25.0,259017.91880244226,52226.91880244225,20,3,1420831.9188024555,0,39,0,0,183220.0
26.0,279496.91269120725,26583.912691207224,26,3,1869635.9126912227,0,45,0,0,341997.0
27.0,439624.13416190224,73288.13416190224,29,3,2583832.134161918,0,51,0,0,444253.0
28.0,627795.7956029183,198891.79560291825,28,3,3330340.7956029335,0,57,0,0,481936.0
29.0,758679.9722677368,64382.9722677368,28,3,4715010.9722677525,0,63,0,0,481936.0
30.0,1479727.4096696186,363761.4096696185,27,3,6602208.409669632,0,68,0,0,481936.0
