real_day,net_worth,cash,datacenters,era,total_revenue,arrears_count,total_built,takeovers,bank_sold,land_spend
0.0,22825.0,17035.0,2,1,0.0,0,2,0,0,965.0
1.0,18934.34405234378,9393.344052343778,3,1,10301.269784999999,0,3,0,0,2487.0
2.0,16037.846733754011,3410.8467337540114,3,1,21449.45919257895,0,4,0,0,2487.0
3.0,20676.02709274151,9249.027092741513,3,1,34286.63321845395,0,4,0,0,2487.0
4.0,22249.163180478063,12022.163180478063,3,1,43721.77717135218,0,4,0,0,2487.0
5.0,22624.674892188643,13597.674892188643,3,2,51699.08039335751,0,4,0,0,2487.0
6.0,13777.53515085797,6337.535150857969,2,2,58179.2732100315,0,5,0,0,2487.0
7.0,13672.33347158839,9619.33347158839,1,2,63754.46068147546,0,5,0,0,2487.0
8.0,8438.754581213383,15.754581213383062,2,2,68109.55009082617,0,6,0,0,2487.0
9.0,11060.694657651344,3420.694657651343,2,2,76097.1055665974,0,6,0,0,2487.0
10.0,13444.198053530286,6604.198053530286,2,2,83821.6188482155,0,6,0,0,2487.0
11.0,13376.495848588269,9789.495848588269,1,2,88565.65418348814,0,6,0,0,2487.0
12.0,14150.11267538052,10963.11267538052,1,2,91970.23643870205,0,6,0,0,2487.0
13.0,14036.039219961971,11249.039219961971,1,2,94322.1309655489,0,6,0,0,2487.0
14.0,7520.651908980608,3067.6519089806084,1,2,98676.58176462955,0,7,0,0,2487.0
15.0,9295.218413168071,5242.2184131680715,1,2,103211.5125652543,0,7,0,0,2487.0
16.0,10905.732900712152,7252.732900712151,1,2,107585.6452334204,0,7,0,0,2487.0
17.0,11881.927467247548,8628.927467247548,1,2,111183.33855541488,0,7,0,0,2487.0
18.0,12256.684159288754,9403.684159288754,1,2,114111.00994791053,0,7,0,0,2487.0
19.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
20.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
21.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
22.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
23.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
24.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
25.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
26.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
27.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
28.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
29.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
30.0,10438.419114725917,10438.419114725917,0,2,114367.95699188836,0,7,0,0,2487.0
