real_day,net_worth,cash,datacenters,era,total_revenue,arrears_count,total_built,takeovers,bank_sold,land_spend
0.0,30620.0,29600.0,1,1,0.0,0,1,0,0,0.0
1.0,25540.50335825975,20620.50335825975,1,1,2459.5033582600063,0,2,0,0,0.0
2.0,23203.061861982107,13746.061861982107,2,1,10250.06186198217,0,3,0,0,965.0
3.0,28098.561930160846,14504.561930160846,3,1,28030.56193016094,0,4,0,0,2487.0
4.0,33150.64464791534,15819.644647915338,4,1,48802.64464791556,0,5,0,0,4644.0
5.0,29345.470918994615,8677.470918994615,5,2,78622.47091899486,0,6,0,0,7506.0
6.0,42890.814464605355,22222.814464605355,5,2,109597.81446460562,0,7,0,0,7506.0
7.0,56446.18523763341,35778.18523763341,5,2,140583.1852376337,0,8,0,0,7506.0
8.0,70367.5465976262,49699.5465976262,5,2,171934.54659762632,0,9,0,0,7506.0
9.0,83805.56412175087,63137.56412175087,5,2,202802.56412175085,0,10,0,0,7506.0
10.0,67350.61675366633,25292.616753666327,5,2,233687.6167536667,0,11,0,0,7506.0
11.0,92592.41547789484,52373.41547789484,5,2,289048.41547789547,0,12,0,0,7506.0
12.0,90814.47660983737,31472.476609837366,5,2,348877.47660983814,0,13,0,0,7506.0
13.0,124682.7526692858,69446.7526692858,5,2,427131.7526692873,0,14,0,0,7506.0
14.0,136421.77663193067,64328.77663193067,5,2,514743.77663193166,0,15,0,0,7506.0
15.0,148852.57412265084,58805.574122650825,6,3,619901.5741226521,0,16,0,0,11137.0
16.0,179617.5753561699,87973.5753561699,5,3,753039.5753561716,0,17,0,0,11137.0
17.0,208222.50478071082,100891.50478071082,6,3,885007.5047807122,0,18,0,0,11137.0
18.0,240961.8125563527,134300.8125563527,5,3,1034386.8125563537,0,19,0,0,11137.0
19.0,292329.5706507213,172247.5706507213,6,3,1203383.570650722,0,20,0,0,11137.0
20.0,344315.08493118465,224233.08493118465,6,3,1386809.0849311843,0,21,0,0,11137.0
21.0,406874.4111291889,286792.4111291889,6,3,1580808.4111291897,0,22,0,0,11137.0
22.0,474143.032793973,354061.032793973,6,3,1779517.0327939766,0,23,0,0,11137.0
23.0,534709.6682559815,414627.66825598147,6,3,1971523.6682559848,0,24,0,0,11137.0
24.0,574575.3214872892,454493.3214872892,6,3,2142829.3214872936,0,25,0,0,11137.0
25.0,680063.5282247945,559981.5282247945,6,3,2379757.528224804,0,26,0,0,11137.0
26.0,723544.971507877,603462.971507877,6,3,2554678.9715078855,0,27,0,0,11137.0
27.0,773102.6367502661,653020.6367502661,6,3,2735676.6367502743,0,28,0,0,11137.0
28.0,818808.8430033944,698726.8430033944,6,3,2912822.8430033987,0,29,0,0,11137.0
29.0,569641.2525398383,252369.25253983831,6,3,3083705.252539837,0,30,0,0,11137.0
30.0,799788.7073975231,514104.7073975231,5,3,3433630.707397527,0,30,0,0,11137.0
